,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000134697.13,3197,5191,10255
ENSG00000134698.11,913,623,836
ENSG00000134709.12,1050,1872,682
ENSG00000134716.11,2193,290,603
ENSG00000134717.18,2016,3981,5470
ENSG00000134744.14,873,656,1215
ENSG00000134748.13,1779,1829,3322
ENSG00000134755.17,2537,1930,2382
ENSG00000134757.5,260,2,54
ENSG00000134758.14,539,1007,577
ENSG00000134759.14,2173,6749,3226
ENSG00000134760.6,7,0,2
ENSG00000134762.17,340,5,72
ENSG00000134765.10,13,1,3
ENSG00000134769.21,855,1147,126
ENSG00000134775.15,421,174,392
ENSG00000134779.15,1180,3665,3754
ENSG00000134780.10,226,109,173
ENSG00000134802.18,792,898,1083
ENSG00000134809.9,890,1546,2285
ENSG00000134812.8,1,0,0
ENSG00000134815.19,1211,2145,2314
ENSG00000134817.11,1933,3716,914
ENSG00000134824.14,15300,382,24589
ENSG00000134825.16,1480,3694,5772
ENSG00000134827.8,180,4,26
ENSG00000134830.6,151,996,522
ENSG00000134851.13,7047,4542,4205
ENSG00000134852.15,1625,1987,1275
ENSG00000134853.12,1692,2270,1667
ENSG00000134864.10,324,60,182
ENSG00000134871.19,45777,33555,29108
ENSG00000134873.10,17,3,7
ENSG00000134874.18,487,313,554
ENSG00000134882.16,4414,8619,6251
ENSG00000134884.15,3618,4700,1376
ENSG00000134897.14,269,504,893
ENSG00000134899.23,102,53,29
ENSG00000134900.12,1749,3591,3274
ENSG00000134901.13,367,383,723
ENSG00000134905.17,3142,4577,2937
ENSG00000134909.18,3055,2212,4167
ENSG00000134910.14,8168,5946,21241
ENSG00000134917.10,700,25,71
ENSG00000134940.14,2,7,16
ENSG00000134954.14,5681,4908,2946
ENSG00000134955.12,1268,782,439
ENSG00000134962.7,93,12,30
ENSG00000134970.14,3205,5385,3599
ENSG00000134982.17,1155,688,1614
ENSG00000134986.14,191,153,489
ENSG00000134987.11,1079,1212,1652
ENSG00000134996.12,1657,3188,2939
ENSG00000135002.12,407,1588,1034
ENSG00000135018.14,6089,5631,9516
ENSG00000135040.16,1406,1028,1611
ENSG00000135045.7,177,83,305
ENSG00000135046.14,4781,5947,5828
ENSG00000135047.16,3698,4711,6512
ENSG00000135048.14,3277,2903,10362
ENSG00000135049.16,679,358,677
ENSG00000135052.16,2354,38148,30954
ENSG00000135063.19,178,32,456
ENSG00000135069.14,501,53,280
ENSG00000135070.15,1686,1340,2453
ENSG00000135074.16,1025,554,1114
ENSG00000135077.9,779,972,897
ENSG00000135083.16,174,154,1342
ENSG00000135090.14,1430,1957,2259
ENSG00000135093.13,659,963,1102
ENSG00000135094.11,874,1180,1130
ENSG00000135097.7,53,637,56
ENSG00000135100.18,0,2,8
ENSG00000135108.15,1924,2707,2880
ENSG00000135111.16,2500,2408,7355
ENSG00000135114.12,221,531,17189
ENSG00000135116.9,13,59,47
ENSG00000135119.15,93,355,764
ENSG00000135124.15,1673,2381,3499
ENSG00000135127.11,969,940,1110
ENSG00000135144.7,339,84,47
ENSG00000135148.12,1928,2499,2729
ENSG00000135164.19,1331,1324,1639
ENSG00000135175.5,0,0,0
ENSG00000135185.12,826,548,425
ENSG00000135205.15,141,154,351
ENSG00000135211.6,699,1290,1800
ENSG00000135218.19,1455,2411,26718
ENSG00000135220.11,1,0,2
ENSG00000135222.6,0,0,0
ENSG00000135226.18,10774,0,0
ENSG00000135241.17,1888,1220,1909
ENSG00000135245.10,6121,763,2420
ENSG00000135248.15,11,1,85
ENSG00000135249.8,573,267,564
ENSG00000135250.17,1905,1509,2901
ENSG00000135253.15,100,58,78
ENSG00000135269.18,4835,1460,8339
ENSG00000135272.12,958,2127,1127
ENSG00000135297.16,571,900,1132
ENSG00000135298.14,6,4,4
ENSG00000135299.17,265,142,341
ENSG00000135312.7,31,18,20
ENSG00000135314.12,13,4,26
ENSG00000135315.12,220,585,555
ENSG00000135316.19,5022,10479,13104
ENSG00000135317.13,1909,3605,5974
ENSG00000135318.12,602,779,2179
ENSG00000135324.6,151,3,24
ENSG00000135333.14,11,7,11
ENSG00000135334.9,981,2584,2832
ENSG00000135336.15,574,1484,4726
ENSG00000135338.14,215,461,247
ENSG00000135341.18,1262,2101,2682
ENSG00000135346.9,0,0,358
ENSG00000135355.4,0,0,0
ENSG00000135362.14,419,430,603
ENSG00000135363.12,570,961,920
ENSG00000135365.16,1212,1778,3347
ENSG00000135372.9,1656,2654,4948
ENSG00000135373.13,5778,6194,18741
ENSG00000135374.11,299,642,252
ENSG00000135378.4,1342,1114,1611
ENSG00000135387.21,8237,9509,22404
ENSG00000135390.21,9203,34076,39681
ENSG00000135392.18,538,276,592
ENSG00000135404.12,24596,69256,29730
ENSG00000135406.14,3,0,5
ENSG00000135407.10,300,239,450
ENSG00000135409.11,5,3,2
ENSG00000135413.9,0,8,7
ENSG00000135414.10,365,1067,302
ENSG00000135423.13,4,17,4
ENSG00000135424.18,629,437,299
ENSG00000135426.16,70,62,110
ENSG00000135436.8,22,20,7
ENSG00000135437.10,9,5,6
ENSG00000135439.11,962,409,98
ENSG00000135441.7,125,619,218
ENSG00000135443.8,0,0,0
ENSG00000135446.17,2869,1108,2758
ENSG00000135447.17,91,115,2185
ENSG00000135451.13,278,497,352
ENSG00000135452.10,1771,1327,1912
ENSG00000135454.14,134,51,154
ENSG00000135457.10,1483,2071,3286
ENSG00000135469.14,127,387,335
ENSG00000135472.9,608,108,3707
ENSG00000135473.15,648,947,934
ENSG00000135476.12,247,438,842
ENSG00000135477.11,29,72,73
ENSG00000135480.16,67965,66391,48318
ENSG00000135482.7,271,335,799
ENSG00000135486.19,17233,23131,42887
ENSG00000135502.19,3,1,0
ENSG00000135503.13,3044,5528,7376
ENSG00000135506.16,12776,7466,12668
ENSG00000135517.9,0,0,0
ENSG00000135519.8,15,287,22
ENSG00000135521.9,409,1073,1270
ENSG00000135525.18,3659,4234,2440
ENSG00000135535.17,14723,30468,23134
ENSG00000135537.17,234,256,284
ENSG00000135540.11,955,675,560
ENSG00000135541.21,838,874,963
ENSG00000135547.9,291,195,306
ENSG00000135549.15,2622,1394,1259
ENSG00000135569.4,0,0,0
ENSG00000135577.4,4,0,0
ENSG00000135587.9,830,1161,1145
ENSG00000135596.18,1478,4302,1305
ENSG00000135597.19,2243,1413,2504
ENSG00000135604.10,142,244,198
ENSG00000135605.13,143,136,88
ENSG00000135617.4,1572,1254,1387
ENSG00000135622.13,194,296,460
ENSG00000135624.16,11554,9998,19395
ENSG00000135625.8,7,9,1
ENSG00000135631.17,2956,1379,4069
ENSG00000135632.12,1427,1401,2079
ENSG00000135636.14,1867,2303,1921
ENSG00000135637.14,328,289,436
ENSG00000135638.14,0,43,76
ENSG00000135643.5,210,264,346
ENSG00000135655.16,1714,1797,2494
ENSG00000135677.11,9474,8865,10689
ENSG00000135678.12,2050,1578,525
ENSG00000135679.25,1807,3582,2868
ENSG00000135686.13,1322,2059,1222
ENSG00000135697.10,5,24,13
ENSG00000135698.10,2131,4585,1462
ENSG00000135702.14,1,0,3
ENSG00000135709.12,1659,685,769
ENSG00000135720.13,2167,1452,1764
ENSG00000135722.9,297,239,155
ENSG00000135723.14,2843,4039,2036
ENSG00000135736.6,357,462,530
ENSG00000135740.17,162,226,70
ENSG00000135744.8,110,43,6283
ENSG00000135747.11,7,1,11
ENSG00000135749.19,981,163,1634
ENSG00000135750.15,1262,7508,5088
ENSG00000135763.10,579,918,1122
ENSG00000135766.9,183,46,176
ENSG00000135773.13,399,258,275
ENSG00000135775.14,971,1120,2653
ENSG00000135776.5,784,1053,885
ENSG00000135778.12,1421,2063,3884
ENSG00000135801.10,1247,1749,3095
ENSG00000135821.19,64457,33985,47572
ENSG00000135823.14,2282,4683,5730
ENSG00000135824.12,7,13,23
ENSG00000135828.11,626,676,820
ENSG00000135829.17,6909,8821,14571
ENSG00000135835.12,135,81,68
ENSG00000135837.16,1663,2280,3536
ENSG00000135838.13,675,1013,638
ENSG00000135842.17,3136,2224,978
ENSG00000135845.10,1275,3913,4731
ENSG00000135862.6,8772,6176,14158
ENSG00000135870.12,1167,1811,2174
ENSG00000135898.10,12,4,6
ENSG00000135899.19,1370,2788,6822
ENSG00000135900.4,1909,894,932
ENSG00000135902.10,3,0,0
ENSG00000135903.20,15,10,24
ENSG00000135905.20,649,714,807
ENSG00000135912.11,997,764,888
ENSG00000135913.11,218,102,124
ENSG00000135914.6,25,29,46
ENSG00000135916.16,2881,1283,3322
ENSG00000135917.16,21,102,7
ENSG00000135919.14,2374,4121,1558
ENSG00000135924.16,6435,6337,4096
ENSG00000135925.9,30,17,86
ENSG00000135926.15,6690,4650,4600
ENSG00000135929.9,1598,1270,1351
ENSG00000135930.14,2793,3315,3814
ENSG00000135931.18,381,1205,1553
ENSG00000135932.11,5732,3784,2844
ENSG00000135940.7,6503,16663,14545
ENSG00000135945.10,1001,825,1240
ENSG00000135951.16,229,330,294
ENSG00000135953.11,709,1518,529
ENSG00000135956.9,7641,10463,10765
ENSG00000135960.10,3,0,4
ENSG00000135966.13,2065,1504,1958
ENSG00000135968.21,3248,1350,1087
ENSG00000135972.9,400,1119,1043
ENSG00000135973.3,3,2,2
ENSG00000135974.10,520,1393,1074
ENSG00000135976.20,80,147,34
ENSG00000135999.12,916,1037,1591
ENSG00000136002.20,278,48,466
ENSG00000136003.16,3594,4541,4875
ENSG00000136010.14,898,552,1009
ENSG00000136011.15,26,11,6
ENSG00000136014.12,10,16,16
ENSG00000136021.19,3150,3583,1325
ENSG00000136026.14,9818,6229,14917
ENSG00000136040.9,1609,1733,1295
ENSG00000136044.12,3124,1647,1647
ENSG00000136045.12,1997,2087,4039
ENSG00000136048.14,652,1497,1075
ENSG00000136051.15,2437,1854,1980
ENSG00000136052.9,2408,400,546
ENSG00000136059.14,637,763,352
ENSG00000136068.15,31700,21739,37421
ENSG00000136098.17,338,1289,287
ENSG00000136099.13,2,0,0
ENSG00000136100.14,2345,3873,2206
ENSG00000136104.21,792,1508,2114
ENSG00000136108.15,768,2427,1899
ENSG00000136110.13,5,1,2
ENSG00000136111.14,2524,2747,1207
ENSG00000136114.17,303,517,472
ENSG00000136122.18,115,147,253
ENSG00000136141.15,845,1244,1258
ENSG00000136143.16,1344,2302,1078
ENSG00000136144.12,1087,1763,1405
ENSG00000136146.15,1279,4020,1874
ENSG00000136147.18,1328,2433,4896
ENSG00000136149.6,286,279,275
ENSG00000136152.15,1632,3816,1832
ENSG00000136153.20,2234,3567,2468
ENSG00000136155.17,239,0,33
ENSG00000136156.15,20970,62402,37320
ENSG00000136158.12,719,710,280
ENSG00000136159.4,1352,3252,1820
ENSG00000136160.17,1497,666,372
ENSG00000136161.13,518,464,748
ENSG00000136167.15,12872,2528,3023
ENSG00000136169.16,787,839,678
ENSG00000136193.17,3489,1261,1201
ENSG00000136197.13,6,69,46
ENSG00000136205.17,4708,3295,4729
ENSG00000136206.4,10,18,5
ENSG00000136213.10,1896,2181,1331
ENSG00000136231.14,6,4,1
ENSG00000136235.17,12127,11906,14947
ENSG00000136237.19,1602,1254,880
ENSG00000136238.18,13803,24943,25178
ENSG00000136240.10,19734,27477,24849
ENSG00000136243.17,221,406,462
ENSG00000136244.12,15,450,42
ENSG00000136247.15,739,912,2246
ENSG00000136250.12,305,169,96
ENSG00000136261.15,3464,3827,5537
ENSG00000136267.14,6,5,0
ENSG00000136270.14,2815,6002,4040
ENSG00000136271.10,3972,8225,5367
ENSG00000136273.13,547,725,1068
ENSG00000136274.9,126,71,134
ENSG00000136275.10,1,0,0
ENSG00000136279.21,6684,7910,5861
ENSG00000136280.17,3032,2375,3452
ENSG00000136286.16,247,249,256
ENSG00000136295.15,11065,8106,11340
ENSG00000136297.15,1,0,0
ENSG00000136305.11,0,0,0
ENSG00000136315.4,1,0,0
ENSG00000136319.12,305,1160,648
ENSG00000136327.7,16,0,40
ENSG00000136352.19,0,0,0
ENSG00000136367.14,202,1264,655
ENSG00000136371.11,21,15,27
ENSG00000136378.15,1191,475,850
ENSG00000136379.12,522,1951,3164
ENSG00000136381.13,2369,1116,1810
ENSG00000136383.7,1640,523,255
ENSG00000136404.16,140,42,21
ENSG00000136425.14,123,47,241
ENSG00000136436.15,4817,5424,4850
ENSG00000136444.10,1620,1221,2923
ENSG00000136448.13,3568,4231,5099
ENSG00000136449.15,54,12,114
ENSG00000136450.13,2027,5008,3851
ENSG00000136451.9,2103,2857,3117
ENSG00000136457.10,176,629,103
ENSG00000136463.8,780,1318,1387
ENSG00000136478.8,4028,2624,7707
ENSG00000136485.15,4668,5313,7902
ENSG00000136487.18,0,0,0
ENSG00000136488.15,0,0,0
ENSG00000136490.9,1263,1194,789
ENSG00000136492.9,129,164,413
ENSG00000136504.13,1623,1879,1846
ENSG00000136514.3,110,122,10275
ENSG00000136518.17,1333,2644,5784
ENSG00000136521.13,2889,4385,12071
ENSG00000136522.14,1443,4312,10550
ENSG00000136527.18,4279,4929,8045
ENSG00000136531.18,71,12,63
ENSG00000136535.15,3,2,0
ENSG00000136536.15,3280,3548,2849
ENSG00000136541.15,48,63,65
ENSG00000136542.9,468,435,931
ENSG00000136546.16,251,60,13
ENSG00000136560.14,1356,3676,3198
ENSG00000136573.14,79,3,8
ENSG00000136574.18,2,1,1334
ENSG00000136603.14,2672,7023,4317
ENSG00000136628.18,7375,5175,17658
ENSG00000136630.13,150,373,408
ENSG00000136631.15,1714,3995,5249
ENSG00000136634.7,9,45,30
ENSG00000136636.13,3435,14035,11705
ENSG00000136643.12,719,914,3059
ENSG00000136682.15,390,739,1226
ENSG00000136688.11,0,0,3
ENSG00000136689.19,30,1845,661
ENSG00000136694.9,0,0,0
ENSG00000136695.15,1,1,0
ENSG00000136696.11,0,0,0
ENSG00000136697.13,0,0,0
ENSG00000136698.10,0,0,0
ENSG00000136699.19,3468,2917,4066
ENSG00000136709.12,3011,3159,4179
ENSG00000136710.10,1451,3233,3057
ENSG00000136715.19,1321,1648,2537
ENSG00000136717.15,4335,367,891
ENSG00000136718.10,2676,4669,4903
ENSG00000136720.7,8677,3257,11633
ENSG00000136731.13,5694,4755,5880
ENSG00000136732.16,785,1456,757
ENSG00000136738.15,829,1085,1026
ENSG00000136750.13,0,1,0
ENSG00000136754.18,2538,4850,3135
ENSG00000136758.19,6828,6782,9991
ENSG00000136770.11,3046,24054,5332
ENSG00000136783.10,741,1911,1753
ENSG00000136802.12,4877,3422,3446
ENSG00000136807.14,3093,4716,4762
ENSG00000136810.13,9567,15324,30597
ENSG00000136811.16,3096,5891,7640
ENSG00000136813.14,6987,4952,11535
ENSG00000136816.16,1563,1719,2401
ENSG00000136819.15,3133,5742,5235
ENSG00000136824.19,765,908,2031
ENSG00000136826.15,1278,1063,652
ENSG00000136827.12,2300,2900,3758
ENSG00000136828.19,558,471,782
ENSG00000136830.12,16252,10619,7480
ENSG00000136834.3,0,3,0
ENSG00000136839.1,0,0,0
ENSG00000136840.19,587,2512,1987
ENSG00000136842.14,60,11,15
ENSG00000136848.17,3002,3089,2644
ENSG00000136854.24,816,1738,1254
ENSG00000136856.18,2117,979,1268
ENSG00000136859.10,2643,3290,5246
ENSG00000136861.18,3629,2125,4428
ENSG00000136866.14,160,96,216
ENSG00000136867.11,26,9,11
ENSG00000136868.11,6650,2444,3287
ENSG00000136869.16,726,909,577
ENSG00000136870.10,2408,883,2163
ENSG00000136872.20,11,21,18
ENSG00000136874.11,1523,1432,3031
ENSG00000136875.13,1536,1717,3870
ENSG00000136877.15,4356,3847,4238
ENSG00000136878.14,1899,2141,1912
ENSG00000136881.12,8,6,13
ENSG00000136883.14,47,1806,173
ENSG00000136888.8,9095,28809,11907
ENSG00000136891.14,995,1139,1866
ENSG00000136895.19,734,386,605
ENSG00000136897.8,973,1509,2168
ENSG00000136908.18,2987,4929,6377
ENSG00000136918.8,5,11,153
ENSG00000136925.15,410,114,253
ENSG00000136928.7,6,12,75
ENSG00000136929.13,3,0,0
ENSG00000136930.13,5460,12250,12305
ENSG00000136931.10,1,0,0
ENSG00000136932.14,498,414,836
ENSG00000136933.17,1059,1836,2499
ENSG00000136935.14,1662,1762,2302
ENSG00000136936.11,499,465,970
ENSG00000136937.13,2329,2098,3067
ENSG00000136938.9,4355,7492,12885
ENSG00000136939.1,0,0,0
ENSG00000136940.14,1041,1980,1329
ENSG00000136942.15,17426,42070,42361
ENSG00000136943.11,146,187,215
ENSG00000136944.19,901,4304,3969
ENSG00000136950.13,2753,3612,5465
ENSG00000136960.13,579,495,526
ENSG00000136982.6,157,350,783
ENSG00000136986.10,3725,7141,10602
ENSG00000136997.21,3377,1929,1506
ENSG00000136999.5,411,234,574
ENSG00000137033.11,166,519,80
ENSG00000137038.8,790,2101,3404
ENSG00000137040.10,605,1430,1251
ENSG00000137054.16,599,801,1720
ENSG00000137055.15,1186,3100,4613
ENSG00000137070.18,240,318,333
ENSG00000137073.23,1900,2913,3788
ENSG00000137074.20,767,3145,2723
ENSG00000137075.18,1278,1680,1985
ENSG00000137076.21,15861,15438,20281
ENSG00000137077.8,704,36,38
ENSG00000137078.9,62,55,64
ENSG00000137080.4,0,1,0
ENSG00000137090.12,1,0,2
ENSG00000137094.15,572,489,924
ENSG00000137098.14,12,38,68
ENSG00000137100.16,1455,2052,3101
ENSG00000137101.13,120,187,180
ENSG00000137103.20,1013,2080,695
ENSG00000137106.18,1932,4231,4636
ENSG00000137124.8,1859,1736,4069
ENSG00000137133.11,7,15,7
ENSG00000137135.18,102,281,565
ENSG00000137142.5,43,27,297
ENSG00000137145.20,1181,1128,1162
ENSG00000137154.13,46390,119977,130729
ENSG00000137161.17,7268,5910,6106
ENSG00000137166.16,8392,9420,6909
ENSG00000137168.8,596,1357,2442
ENSG00000137171.15,1798,867,1585
ENSG00000137177.20,1692,2445,3164
ENSG00000137185.13,339,735,966
ENSG00000137193.14,802,1804,891
ENSG00000137198.10,361,250,2549
ENSG00000137200.13,1493,2287,3272
ENSG00000137203.15,1848,7188,6008
ENSG00000137204.15,0,1,1
ENSG00000137207.12,10608,9099,8083
ENSG00000137210.14,755,3046,3103
ENSG00000137216.19,4865,5539,4697
ENSG00000137218.10,212,392,325
ENSG00000137221.14,1165,1542,1338
ENSG00000137225.13,93,85,8
ENSG00000137251.16,0,0,0
ENSG00000137252.9,0,0,0
ENSG00000137261.14,23,1,59
ENSG00000137265.15,77,38,124
ENSG00000137266.15,682,1225,1808
ENSG00000137267.6,485,477,1214
ENSG00000137269.15,4209,1518,1419
ENSG00000137270.11,40,3,52
ENSG00000137273.6,138,109,214
ENSG00000137274.13,374,526,698
ENSG00000137275.15,1629,1964,3314
ENSG00000137285.10,85,27,95
ENSG00000137288.10,1441,9343,3128
ENSG00000137309.20,5802,6021,10321
ENSG00000137310.12,430,563,1721
ENSG00000137312.15,5000,17734,19567
ENSG00000137331.12,749,1933,2018
ENSG00000137337.15,686,1326,1708
ENSG00000137338.5,149,188,180
ENSG00000137343.18,378,855,864
ENSG00000137364.5,1065,3246,2210
ENSG00000137392.10,25,54,20
ENSG00000137393.10,3939,1180,2808
ENSG00000137404.14,409,738,1415
ENSG00000137409.19,5958,6539,9940
ENSG00000137411.19,7,12,8
ENSG00000137413.16,1673,1302,1297
ENSG00000137414.6,1584,2423,3650
ENSG00000137434.11,6,14,120
ENSG00000137440.5,17,0,0
ENSG00000137441.8,14,3,3
ENSG00000137449.17,592,1642,949
ENSG00000137460.9,1643,712,830
ENSG00000137462.9,1051,376,668
ENSG00000137463.5,9,4,39
ENSG00000137473.18,26,0,8
ENSG00000137474.22,138,102,78
ENSG00000137478.15,714,1252,1325
ENSG00000137486.17,1504,751,757
ENSG00000137491.15,2650,1145,442
ENSG00000137492.8,1910,1035,2627
ENSG00000137494.14,536,763,966
ENSG00000137496.18,445,560,2342
ENSG00000137497.18,10796,7601,15137
ENSG00000137500.9,1178,1008,2881
ENSG00000137501.17,2650,2829,3082
ENSG00000137502.10,424,2137,4247
ENSG00000137504.14,2337,1833,1457
ENSG00000137507.11,3250,2611,3433
ENSG00000137509.11,3301,5285,6064
ENSG00000137513.10,612,766,764
ENSG00000137522.18,1357,718,1860
ENSG00000137547.9,2021,3783,4198
ENSG00000137558.9,311,21,209
ENSG00000137561.5,14,25,223
ENSG00000137563.13,502,3643,5728
ENSG00000137571.11,38,8,44
ENSG00000137573.14,21381,9902,25166
ENSG00000137574.11,974,1602,2142
ENSG00000137575.12,6884,8667,8524
ENSG00000137601.17,546,397,394
ENSG00000137628.17,529,1103,3416
ENSG00000137634.10,1,0,1
ENSG00000137642.13,2633,2082,6207
ENSG00000137648.19,41,847,6
ENSG00000137656.12,829,505,1286
ENSG00000137672.13,241,130,348
ENSG00000137673.9,1727,84,449
ENSG00000137674.4,3,0,2
ENSG00000137675.5,4,3,8
ENSG00000137691.13,23,20,264
ENSG00000137692.12,1324,571,2844
ENSG00000137693.14,3670,2168,4971
ENSG00000137699.17,3177,17,8328
ENSG00000137700.18,1317,1393,2214
ENSG00000137707.13,0,0,2
ENSG00000137709.10,627,381,740
ENSG00000137710.17,2123,1925,2985
ENSG00000137713.16,1574,1247,2067
ENSG00000137714.3,970,1114,1197
ENSG00000137720.8,815,1233,2609
ENSG00000137726.17,213,287,210
ENSG00000137727.12,85,57,119
ENSG00000137731.14,4,0,2
ENSG00000137745.12,965,937,5876
ENSG00000137747.16,1730,1322,2355
ENSG00000137752.24,420,464,3660
ENSG00000137757.11,3,5,24
ENSG00000137760.15,291,308,288
ENSG00000137764.20,771,320,626
ENSG00000137766.17,3,2,2
ENSG00000137767.14,2031,3221,7311
ENSG00000137770.14,882,1487,1850
ENSG00000137776.17,3984,2864,4821
ENSG00000137801.11,29716,17670,45514
ENSG00000137802.14,949,560,706
ENSG00000137804.14,10,4,16
ENSG00000137806.10,976,1572,1711
ENSG00000137807.16,352,356,1746
ENSG00000137808.12,0,0,0
ENSG00000137809.17,12764,4919,15778
ENSG00000137812.20,242,255,498
ENSG00000137814.12,677,645,1285
ENSG00000137815.14,3785,4857,6444
ENSG00000137817.17,2055,1362,2902
ENSG00000137818.12,74043,47704,141706
ENSG00000137819.14,57,726,157
ENSG00000137821.12,130,74,335
ENSG00000137822.13,386,345,609
ENSG00000137824.16,2632,2451,3677
ENSG00000137825.11,26,105,21
ENSG00000137831.15,3054,3811,4468
ENSG00000137834.15,522,315,614
ENSG00000137841.12,612,2256,251
ENSG00000137842.7,3253,718,2799
ENSG00000137843.12,444,699,1175
ENSG00000137845.15,5215,4128,5902
ENSG00000137857.17,4050,79,236
ENSG00000137860.12,7,9,3
ENSG00000137868.19,464,144,335
ENSG00000137869.15,16,39,151
ENSG00000137871.20,521,1024,1332
ENSG00000137872.17,212,151,142
ENSG00000137875.4,9,19,106
ENSG00000137876.11,2585,4939,6351
ENSG00000137877.10,401,352,126
ENSG00000137878.17,11,728,11
ENSG00000137880.6,27,5,11
ENSG00000137936.18,882,1462,2142
ENSG00000137941.17,679,820,360
ENSG00000137942.17,5123,3887,9030
ENSG00000137944.18,1294,1178,2379
ENSG00000137947.12,1212,1677,2860
ENSG00000137948.18,2,17,16
ENSG00000137955.16,1639,3003,2792
ENSG00000137959.16,441,390,29217
ENSG00000137960.6,98,111,39
ENSG00000137962.13,2608,3911,2564
ENSG00000137965.11,584,538,15547
ENSG00000137968.16,154,196,644
ENSG00000137970.7,360,354,595
ENSG00000137975.8,28992,3,2400
ENSG00000137976.7,35,22,2
ENSG00000137992.14,1083,1619,1926
ENSG00000137996.13,1505,1502,2806
ENSG00000138002.16,1014,1081,2530
ENSG00000138018.18,3041,1513,3080
ENSG00000138028.16,445,626,1023
ENSG00000138029.14,4423,5080,9065
ENSG00000138030.13,52,33,230
ENSG00000138031.14,900,311,791
ENSG00000138032.21,714,2182,1074
ENSG00000138035.15,1289,1400,4887
ENSG00000138036.18,878,1135,1269
ENSG00000138039.15,0,6,1
ENSG00000138050.15,425,423,880
ENSG00000138061.12,19988,2572,5444
ENSG00000138068.10,0,0,0
ENSG00000138069.18,9392,6666,14210
ENSG00000138071.14,12532,12910,15782
ENSG00000138073.14,3539,2956,4674
ENSG00000138074.15,7188,4362,11945
ENSG00000138075.14,6,5,51
ENSG00000138078.16,1432,3109,2540
ENSG00000138079.14,1,2,4
ENSG00000138080.14,8249,3228,5327
ENSG00000138081.21,825,536,1258
ENSG00000138083.5,3,8,17
ENSG00000138085.17,5138,5525,8909
ENSG00000138092.11,280,258,294
ENSG00000138095.19,7489,4970,9915
ENSG00000138100.14,12,5,34
ENSG00000138101.19,1365,1355,2762
ENSG00000138107.13,8403,10019,10939
ENSG00000138109.11,3,1,18
ENSG00000138111.14,182,334,316
ENSG00000138115.14,17,9,83
ENSG00000138119.17,7339,5369,9162
ENSG00000138131.4,141,60,388
ENSG00000138134.12,176,47,265
ENSG00000138135.7,20,267,189
ENSG00000138136.6,0,0,0
ENSG00000138138.13,1569,3458,3068
ENSG00000138152.10,20,1,15
ENSG00000138160.7,604,867,2493
ENSG00000138161.14,0,0,1
ENSG00000138162.19,7250,1440,3170
ENSG00000138166.6,4287,5452,2801
ENSG00000138172.11,966,2327,2874
ENSG00000138175.9,927,1753,3471
ENSG00000138180.16,334,748,1168
ENSG00000138182.15,298,377,1046
ENSG00000138185.20,2023,2014,2250
ENSG00000138190.17,846,1384,909
ENSG00000138193.16,392,327,2819
ENSG00000138207.14,119,142,17
ENSG00000138231.13,747,594,1130
ENSG00000138246.17,2530,2424,2711
ENSG00000138271.6,2,2,0
ENSG00000138279.16,5478,7662,8775
ENSG00000138286.15,619,816,1364
ENSG00000138303.18,960,886,1996
ENSG00000138308.6,0,0,0
ENSG00000138311.18,93,69,190
ENSG00000138315.13,14,116,14
ENSG00000138316.11,445,396,410
ENSG00000138326.21,33096,87357,108850
ENSG00000138336.9,42,78,77
ENSG00000138346.15,180,361,343
ENSG00000138347.16,1239,0,6
ENSG00000138356.14,271,3316,573
ENSG00000138363.15,4569,10703,4754
ENSG00000138375.13,1251,1677,1480
ENSG00000138376.11,366,1102,755
ENSG00000138378.19,121,40,104
ENSG00000138379.5,13,1,34
ENSG00000138380.18,384,569,264
ENSG00000138381.10,598,757,1308
ENSG00000138382.15,1000,2919,2236
ENSG00000138385.16,2054,6547,6629
ENSG00000138386.17,898,835,1489
ENSG00000138395.17,38,16,127
ENSG00000138398.17,2560,8262,5688
ENSG00000138399.18,657,1440,851
ENSG00000138400.13,29,62,270
ENSG00000138411.13,1333,1256,684
ENSG00000138413.14,15876,5197,3590
ENSG00000138430.16,3340,3678,22755
ENSG00000138433.16,1259,3129,7388
ENSG00000138434.17,2628,4081,3292
ENSG00000138435.16,104,109,302
ENSG00000138439.12,610,1070,794
ENSG00000138442.10,1121,1715,2560
ENSG00000138443.17,1331,2269,3716
ENSG00000138448.12,8172,5076,5387
ENSG00000138449.11,4149,4004,102743
ENSG00000138459.9,1016,894,1445
ENSG00000138463.9,473,624,677
ENSG00000138468.16,415,957,443
ENSG00000138472.11,0,0,0
ENSG00000138483.3,2,1,6
ENSG00000138495.7,1045,3208,2395
ENSG00000138496.16,2410,1892,19806
ENSG00000138587.6,87,35,119
ENSG00000138592.14,1425,1234,1888
ENSG00000138593.9,3137,2576,1787
ENSG00000138594.14,3193,3502,3204
ENSG00000138600.10,2893,3099,3438
ENSG00000138604.10,904,1379,1479
ENSG00000138606.19,158,226,156
ENSG00000138613.14,992,700,874
ENSG00000138614.15,1998,1447,3229
ENSG00000138615.6,8181,9594,6617
ENSG00000138617.16,982,357,938
ENSG00000138621.12,514,992,958
ENSG00000138622.4,4,1,9
ENSG00000138623.10,381,387,572
ENSG00000138629.16,1872,1376,3148
ENSG00000138639.18,273,302,985
